"name","path","level","rarity","tooltip","restriction","acquisition"
"Medallion of Stamina","https://ucarecdn.com/35ce01af-7718-4a66-8bb2-b6020cdd0559/BTNPeriapt1.png",30,"Common","Increases Health by 900.",NA,"Trinkets; Goldsmith Level 16; Thea; Bullroarer; Forest Terror; 26  ≤ Mob Level ≤ 100"
"Orb of Life Regeneration","https://ucarecdn.com/f554feee-9355-4541-a1aa-391e3d165424/BTNOrbOfLightning.png",30,"Common","Increases Health Regeneration by 15.",NA,"Trinkets; Goldsmith Level 20; Thea; 26  ≤ Mob Level ≤ 100"
"Orb of Mana Regeneration","https://ucarecdn.com/d512cbf5-10f5-40ca-9502-b86c65d601c6/BTNOrbOfDarkness.png",30,"Common","Grants <span style='color: #c3dbff'>Mana Regeneration IV</span>.<br><br><span style='color: #c3dbff'>Mana Regeneration IV</span>—Gain 25% increased Mana Regeneration.","Cannot be used by Warrior classes","Greater Items; Trinkets; Goldsmith Level 20; Thea; 26  ≤ Mob Level ≤ 100"
"Pendant of Mana","https://ucarecdn.com/036a296d-bc7a-4390-97ae-1fc85c8a920b/BTNPendantOfEnergy.png",30,"Common","Increases Mana by 600.","Cannot be used by Warrior classes","Minor Items; Trinkets; Goldsmith Level 16; Thea; Bullroarer; Forest Terror; 26  ≤ Mob Level ≤ 100"
"Ring of Evasion","https://ucarecdn.com/61cd641a-f284-4660-bece-c7c83430b8fd/BTNRingJadeFalcon.png",30,"Common","<span style='color: #c3dbff'>Evasion II</span>—Gives a <span style='color: #FEBA0E'>10%</span> chance to avoid an auto-attack.",NA,"Trinkets; Goldsmith Level 25; Aris' Tomb; Thea; Bullroarer; Forest Terror; Lucus Farblaze; 26  ≤ Mob Level ≤ 100"
"Robes of Enlightenment","https://ucarecdn.com/e0a61c49-03e9-4a3a-87e8-6a1747f74e90/BTNMantleOfIntelligence.png",30,"Common","Increases Intelligence by 24.","Cannot be used by Warrior classes","Greater Items; Armorsmith Level 25; Thea; 26  ≤ Mob Level ≤ 100"
"Staff of Spell Power","https://ucarecdn.com/748ef406-13bf-416c-b1d9-927e0d7e92b4/BTNWandOfCyclone.png",30,"Common","Increases Spell Power by 225.","Cannot be used by Warrior classes","Weapons and Armor; Weaponsmith Level 16; Bullroarer; Forest Terror; 26  ≤ Mob Level ≤ 100"
"Battle Wizard's Staff","https://ucarecdn.com/10d95b07-09fc-457a-ae58-46cf9cc9921e/BTNStaffOfNegation.png",35,"Common","Increases Intelligence by 10 and Spell Power by 225.","Cannot be used by Warrior classes","Weaponsmith Level 20; Aris' Tomb; The Dark Knight; Rockwatcher Felblade"
"Bloodrage Charm","https://ucarecdn.com/81d2e22f-f9b2-4d5a-a6ee-05d5e743a6b2/BTNEntrapmentWard.png",35,"Common","Use: increases your attack speed by 100% for 30 seconds.<br>Cooldown: 3 minutes.",NA,"Aris' Tomb; The Dark Knight; Rockwatcher Felblade"
"Crown of Kings","https://ucarecdn.com/3d9e0ea9-81ee-45ad-89b7-f5577a6329b8/BTNHelmutPurple.png",35,"Common","Increases Strength, Intelligence and Agility by 10.","Cannot be used by Warrior classes","Greater Items; Goldsmith Level 25; Aris' Tomb; 26  ≤ Mob Level ≤ 100"
"Peacebringer","https://ucarecdn.com/fce320ec-e7d2-468f-9bb1-df8d53e48db0/BTNSpiritWalkerAdeptTraining.png",35,"Common","Increases Attack Damage by 45 and Strength and Agility by 8.",NA,"Weaponsmith Level 20; Aris' Tomb; The Dark Knight; Rockwatcher Felblade"
"Thespian Boiled Leather","https://ucarecdn.com/ca3b26ec-978c-4f51-8708-0f5e3924ed7b/BTNLeatherUpgradeThree.png",35,"Common","Increases Armor by 12 and Agility by 25.",NA,"Armorsmith Level 35; Aris' Tomb; The Dark Knight; Rockwatcher Felblade"
"Breastplate of the Chosen","https://ucarecdn.com/6ffd9450-f418-40cc-bada-b0351c1331fb/BTNNagaArmorUp3.png",40,"Common","Increases Armor by 25 and Strength and Agility by 12.",NA,"Armorsmith Level 40; The Black Knight; Lucus Farblaze"
"Robes of the Chosen","https://ucarecdn.com/61b9e074-2f84-43aa-8e40-f607710a5c6d/BTNNecromancersRobe.png",40,"Common","Increases Armor by 8, Intelligence by 25 and grants <span style='color: #c3dbff'>Mana Regeneration V</span>.<br><br><span style='color: #c3dbff'>Mana Regeneration V</span>—Gain 30% increased Mana Regeneration.","Cannot be used by Warrior classes","Armorsmith Level 40; Themis; The Black Knight; Lucus Farblaze"
"Blade of the Chosen","https://ucarecdn.com/7bbb5c0c-fb16-4431-8e9b-0e410baa44a6/BTNSpiritWalkerMasterTraining.png",45,"Common","Increases Attack Damage by 75 and Attack Speed by 20%.",NA,"Weaponsmith Level 35; Themis; The Black Knight; Lucus Farblaze"
"Book of Skill Increase - Level 3","https://ucarecdn.com/5c5bbe07-d895-44cb-aaec-6da556ffa679/BTNNecromancerAdept.png",45,"Common","Increases one of your skills from Level 2 to 3.",NA,"Books"
"Full Plate","https://ucarecdn.com/041c312b-333e-47b8-b17f-5e2ea6c26a81/BTNGrimWard.png",45,"Common","Increases Armor by 45.",NA,"Armorsmith Level 31; Themis; Darnek the Wanderer; 40  ≤ Mob Level ≤ 100"
"Medallion of Greater Stamina","https://ucarecdn.com/4883ec9e-51a2-438b-8881-c9fdc88bde29/BTNSpellShieldAmulet.png",45,"Common","Increases Health by 1500.",NA,"Greater Items; Goldsmith Level 31; Themis; Darnek the Wanderer; Hillcrusher; 40  ≤ Mob Level ≤ 100"
"Mighty Axe","https://ucarecdn.com/1c08478e-40c6-4291-9ed4-c04fcb16ec53/BTNOrcMeleeUpThree.png",45,"Common","Increases Attack Damage by 70.",NA,"Weaponsmith Level 31; Darnek the Wanderer; Hillcrusher; 40  ≤ Mob Level ≤ 100"
"Pendant of Greater Mana","https://ucarecdn.com/036a296d-bc7a-4390-97ae-1fc85c8a920b/BTNPendantOfEnergy.png",45,"Common","Increases Mana by 1200.","Cannot be used by Warrior classes","Greater Items; Goldsmith Level 31; Themis; Darnek the Wanderer; 40  ≤ Mob Level ≤ 100"
"Rod of Greater Spell Power","https://ucarecdn.com/0276f88b-ab9e-479f-95d7-00ccd9fa6886/BTNAlleriaFlute.png",45,"Common","Increases Spell Power by 325.","Cannot be used by Warrior classes","Weaponsmith Level 31; Darnek the Wanderer; 40  ≤ Mob Level ≤ 100"
"Rod of the Chosen","https://ucarecdn.com/8f73dd0c-5644-458f-8611-7434f7bfa93f/BTNPriestAdept.png",45,"Common","Increases Intelligence by 20 and Spell Power by 250. Grants <span style='color: #c3dbff'>Mana Regeneration V</span>.<br><br><span style='color: #c3dbff'>Mana Regeneration V</span>—Gain 30% increased Mana Regeneration.","Cannot be used by Warrior classes","Weaponsmith Level 35; Themis; The Black Knight; Lucus Farblaze"
"Beast Plate Armor","https://ucarecdn.com/64f2d609-844b-41c5-b515-24f16a139aa9/BTNImprovedCreatureCarapace.png",60,"Common","Increases Armor by 60.",NA,"Armorsmith Level 46"
"Gauntlets of Superior Spell Power","https://ucarecdn.com/39c6e1ba-dc21-4c31-8a52-076cc66cdcb4/BTNSpellSteal.png",60,"Common","Increases Spell Power by 450.","Cannot be used by Warrior classes","Weaponsmith Level 46"
"Mage's War Staff","https://ucarecdn.com/aeb50f3d-1153-4c2d-9971-47d2c094f609/BTNScepterOfMastery.png",60,"Common","Increases Intelligence by 25 and Spell Power by 450.","Cannot be used by Warrior classes","Weaponsmith Level 55; Cronus"
"Medallion of Superior Stamina","https://ucarecdn.com/e6a5531d-b92b-4ee5-b74b-838243aa28eb/BTNPeriapt.png",60,"Common","Increases Health by 2000.",NA,"Goldsmith Level 60; Cronus"
"Pendant of Superior Mana","https://ucarecdn.com/036a296d-bc7a-4390-97ae-1fc85c8a920b/BTNPendantOfEnergy.png",60,"Common","Increases Mana by 1800.","Cannot be used by Warrior classes","Goldsmith Level 60; Cronus"
"Surprisingly Good War Pick","https://ucarecdn.com/b814e3a9-aa4a-452a-a34c-fa02dfc5650d/BTNGatherGold.png",60,"Common","Increases Attack Damage by 100 and Strength and Agility by 12.",NA,"Weaponsmith Level 55; Cronus"
"Tearing Claws","https://ucarecdn.com/5ca97199-b381-4f21-b693-6bf2270d9a34/BTNClawsOfAttack.png",60,"Common","Increases Attack Damage by 100.",NA,"Weaponsmith Level 46"
"Towering Shield","https://ucarecdn.com/f9e22b47-e874-42b1-bc10-11b5cdf60050/BTNAdvancedUnholyArmor.png",60,"Common","Increases Armor by 25.<br><br><span style='color: #c3dbff'>Evasion III</span>—Gives a <span style='color: #FEBA0E'>15%</span> chance to avoid an auto-attack.",NA,"Armorsmith Level 60; Cronus"
"Voodoo Suit","https://ucarecdn.com/d5b296c8-bf26-4dc1-a46c-5aadbf1cf2c3/BTNShadowPact.png",60,"Common","Increases Armor by 25, Intelligence by 35 and grants <span style='color: #c3dbff'>Mana Regeneration VI</span>.<br><br><span style='color: #c3dbff'>Mana Regeneration VI</span>—Gain 35% increased Mana Regeneration.","Cannot be used by Warrior classes","Armorsmith Level 50; Cronus"
"Book of Skill Increase - Level 4","https://ucarecdn.com/5c5bbe07-d895-44cb-aaec-6da556ffa679/BTNNecromancerAdept.png",75,"Common","Increases one of your skills from Level 3 to 4.",NA,"Books"
"Book of Skill Reset","https://ucarecdn.com/0907336f-4fc5-421c-b6b6-f3b00efbffa5/BTNTomeOfRetraining.png",100,"Common","Resets one of your skills to Level 1.",NA,"Master Seryo"
"Book of Skill Increase - Level 5","https://ucarecdn.com/5c5bbe07-d895-44cb-aaec-6da556ffa679/BTNNecromancerAdept.png",105,"Common","Increases one of your skills from Level 4 to 5.",NA,"Books"
"Book of Skill Increase - Level 6","https://ucarecdn.com/5c5bbe07-d895-44cb-aaec-6da556ffa679/BTNNecromancerAdept.png",135,"Common","Increases one of your skills from Level 5 to 6.",NA,"Sphinx"
"Book of Skill Increase - Level 7","https://ucarecdn.com/5c5bbe07-d895-44cb-aaec-6da556ffa679/BTNNecromancerAdept.png",165,"Common","Increases one of your skills from Level 6 to 7.",NA,"Books"
"Book of Skill Increase - Level 8","https://ucarecdn.com/5c5bbe07-d895-44cb-aaec-6da556ffa679/BTNNecromancerAdept.png",180,"Common","Increases one of your skills from Level 7 to 8.",NA,"Books"
"<span style='color: #00ffff'>Talisman of Addiction</span>","https://ucarecdn.com/905c64bd-c952-4132-8512-d2e39aa6afb2/BTNTalismanOfAddiction.png",100,"Uncommon","Increases Strength, Agility, and Intelligence by 30.<br><br><span style='color: #ffe385'>Because you've earned it...</span><br><span style='color: #ff0000'>Cannot be used by Warrior classes","Cannot be used by Warrior classes","Artifacts; Gaea; Persephone"
"<span style='color: #00ffff'>Warrior's Talisman of Addiction</span>","https://ucarecdn.com/c6270c88-2290-470a-bfb3-4f4decfce233/BTNWarriorsTalismanOfAddiction.png",100,"Uncommon","Increases Strength and Agility by 50, and Intelligence by 2.<br><br><span style='color: #ffe385'>Because you've earned it...</span>",NA,"Artifacts; Gaea; Persephone"
"<span style='color: #fa8072'>Potion of Minor Healing</span>","https://ucarecdn.com/4d50e751-2013-4271-92fc-2c215a20c2e3/BTNLesserInvisibility.png",3,"Consumables","Restores 250 Health. Has 2 charges. ",NA,"Field Equipment; Incursion Point"
"<span style='color: #fa8072'>Potion of Minor Mana</span>","https://ucarecdn.com/c9d5df68-24a2-43dd-8378-26d0f931925a/BTNLesserClarityPotion.png",3,"Consumables","Restores 200 Mana. Has 2 charges. ",NA,"Field Equipment"
"<span style='color: #fa8072'>Potion of Minor Regeneration</span>","https://ucarecdn.com/4980f4dc-1756-4ff3-b386-d064355dcc8a/BTNLesserRejuvPotion.png",3,"Consumables","Grants 3 Health Regeneration per second. Has 2 charges.<br>Lasts 10 minutes.",NA,"Field Equipment"
"<span style='color: #fa8072'>Scroll of Speed</span>","https://ucarecdn.com/2994b10b-f4c9-4326-9717-afe11760c047/BTNScrollOfHaste.png",5,"Consumables","Increases the Movement Speed of nearby allies by 50%. Has 3 charges.<br>Lasts 5 minutes.",NA,"Scrolls; Alchemist Level 16; 26  ≤ Mob Level ≤ 100; 40  ≤ Mob Level ≤ 100"
"<span style='color: #fa8072'>Scroll of Town Portal</span>","https://ucarecdn.com/a2331756-b8d9-4229-9b01-47f9cf97de2c/BTNScrollUber.png",5,"Consumables","Teleports the user to Athens.  Has 2 charges.",NA,"Scrolls; Alchemist Level 16; 5  ≤ Mob Level ≤ 20 ; 26  ≤ Mob Level ≤ 100; 40  ≤ Mob Level ≤ 100"
"<span style='color: #fa8072'>Ankh of Reincarnation</span>","https://ucarecdn.com/78ae7dfb-fa77-4d19-9c81-097775d873f4/BTNAnkh.png",10,"Consumables","Grants <span style='color: #c3dbff'>Auto-Life</span> until slain.<br><br><span style='color: #c3dbff'>Auto-Life</span>—When slain, you will be revived with 25% of your Maximum Health and Maximum Mana after 7 seconds. Also, subsequent <span style='color: #c3dbff'>Auto-Life</span> effects cannot revive you for 10 minutes.",NA,"Consumables; Alchemist Level 25; 26  ≤ Mob Level ≤ 100; 40  ≤ Mob Level ≤ 100"
"<span style='color: #fa8072'>Elixir of Lesser Agility</span>","https://ucarecdn.com/ee5c1231-e105-4205-9862-a96e5bcc29ac/BTNPotionRed.png",10,"Consumables","Increases Agility by 10. Has 2 charges.<br>Lasts 10 minutes.",NA,"Consumables; Alchemist Level 10"
"<span style='color: #fa8072'>Elixir of Lesser Intelligence</span>","https://ucarecdn.com/ee5c1231-e105-4205-9862-a96e5bcc29ac/BTNPotionRed.png",10,"Consumables","Increases Intelligence by 10. Has 2 charges.<br>Lasts 10 minutes.","Cannot be used by Warrior classes","Consumables; Alchemist Level 10"
"<span style='color: #fa8072'>Elixir of Lesser Spell Power</span>","https://ucarecdn.com/f50ee8c0-cc79-451e-bbc7-d9a02b7a2a2f/BTNPotionOfVampirism.png",10,"Consumables","Increases Spell Power by 75. Has 2 charges.<br>Lasts 10 minutes.",NA,"Alchemist Level 10"
"<span style='color: #fa8072'>Elixir of Lesser Strength</span>","https://ucarecdn.com/ee5c1231-e105-4205-9862-a96e5bcc29ac/BTNPotionRed.png",10,"Consumables","Increases Strength by 10. Has 2 charges.<br>Lasts 10 minutes.",NA,"Consumables; Alchemist Level 10"
"<span style='color: #fa8072'>Lesser Armor Plates</span>","https://ucarecdn.com/55df737a-33f4-4b4a-bbb5-b2b29c31ebea/BTNArmorShard.png",10,"Consumables","Increases Armor by 10.<br>Lasts 10 minutes. ",NA,"Weapons and Armor; Armorsmith Level 10"
"<span style='color: #fa8072'>Lesser Ether Dust</span>","https://ucarecdn.com/373b96c3-67d7-4ecb-b473-2b4e012b5317/BTNHeartOfAszune.png",10,"Consumables","Increases Resist by 10.<br>Lasts 10 minutes. ",NA,"Trinkets; Goldsmith Level 10"
"<span style='color: #fa8072'>Lesser Whetstone</span>","https://ucarecdn.com/948d0be7-220b-4619-b9ce-31e7ca02c632/BTNArcaniteArchitecture.png",10,"Consumables","Increases Attack Damage by 15.<br>Lasts 10 minutes. ",NA,"Weapons and Armor; Weaponsmith Level 10"
"<span style='color: #fa8072'>Potion of Lesser Healing</span>","https://ucarecdn.com/5c892b8d-28d5-4d73-a779-f0c5d3cd1bfd/BTNPotionGreenSmall.png",10,"Consumables","Restores 750 Health. Has 2 charges. ",NA,"Consumables; Apothecary; Alchemist Level 1; 5  ≤ Mob Level ≤ 20 "
"<span style='color: #fa8072'>Potion of Lesser Mana</span>","https://ucarecdn.com/6e48dca8-f065-4036-a42d-2a144a43aba8/BTNPotionBlueSmall.png",10,"Consumables","Restores 500 Mana.  Has 2 charges. ",NA,"Consumables; Apothecary; Alchemist Level 1; 5  ≤ Mob Level ≤ 20 "
"<span style='color: #fa8072'>Potion of Lesser Regeneration</span>","https://ucarecdn.com/4980f4dc-1756-4ff3-b386-d064355dcc8a/BTNLesserRejuvPotion.png",10,"Consumables","Grants 10 Health Regeneration per second. Has 2 charges.<br>Lasts 10 minutes.",NA,"Consumables; Alchemist Level 5"
"<span style='color: #fa8072'>Scroll of Lesser Healing</span>","https://ucarecdn.com/0a991022-b2b0-4ad1-9df2-9bc6b5f93dd6/BTNScrollOfTownPortal.png",10,"Consumables","Restores 500 Health to nearby allies. ",NA,"Scrolls; 5  ≤ Mob Level ≤ 20 "
"<span style='color: #fa8072'>Scroll of Lesser Mana</span>","https://ucarecdn.com/da5ba7b1-4bc7-4aba-999f-9322782db1cb/BTNScrollOfProtection.png",10,"Consumables","Restores 250 Mana to nearby allies. ",NA,"Scrolls; 5  ≤ Mob Level ≤ 20 "
"<span style='color: #fa8072'>Scroll of Lesser Regeneration</span>","https://ucarecdn.com/d8647dca-103a-45e2-b7e3-c3d835cdd1ab/BTNScrollOfRegenerationGreen.png",10,"Consumables","Grants 10 Health Regeneration per second to nearby allies.<br>Lasts 2 minutes.",NA,"Scrolls; 5  ≤ Mob Level ≤ 20 "
"<span style='color: #fa8072'>Scroll of Protection</span>","https://ucarecdn.com/ae8ddb85-ab3b-474a-a2d0-dbea4f0b92b1/BTNScroll.png",10,"Consumables","Increases Armor of nearby allies by 20.<br>Lasts 2 minutes.",NA,"Scrolls; 40  ≤ Mob Level ≤ 100"
"<span style='color: #fa8072'>Scroll of the Lesser Beast</span>","https://ucarecdn.com/795573c8-5eca-45af-9e35-9247f853c5aa/BTNSnazzyScrollGreen.png",10,"Consumables","Grants 10% bonus damage to nearby allies.<br>Lasts 1 minute.",NA,"Scrolls; Alchemist Level 20"
"<span style='color: #fa8072'>Wand of Negation</span>","https://ucarecdn.com/43fbeced-be85-41f8-9142-9a8bab112145/BTNWandSkull.png",10,"Consumables","Dispels all magical effects in a target area.<br>Contains 3 charges.",NA,"Consumables; 5  ≤ Mob Level ≤ 20 ; 26  ≤ Mob Level ≤ 100"
"<span style='color: #fa8072'>Algore Charm</span>","https://ucarecdn.com/4eece341-5924-4585-9157-499269ee1fe2/BTNHornOfCenarius.png",15,"Consumables","Summons Manbearpig to fight for you.<br>Abilities: Rejuvenation, Roar.<br>Lasts for 5 minutes.",NA,"Goldsmith Level 35"
"<span style='color: #fa8072'>Armor Plates</span>","https://ucarecdn.com/55df737a-33f4-4b4a-bbb5-b2b29c31ebea/BTNArmorShard.png",30,"Consumables","Increases Armor by 30.<br>Lasts 10 minutes. ",NA,"Armorsmith Level 20"
"<span style='color: #fa8072'>Blunting Stone</span>","https://ucarecdn.com/92179d22-128f-4355-b047-9e50c9eaeaf3/BTNStoneArchitecture.png",30,"Consumables","Grants a 10% chance on auto-attack to cause 500 additional damage and <span style='color: #ff7700'>Ruin I</span> the target to reduce its auto-attack damage by 15% for 2 seconds if the target isn't already <span style='color: #ff7700'>Ruined</span>.<br>Lasts 10 minutes.",NA,"Weaponsmith Level 25"
"<span style='color: #fa8072'>Draught of Hermes</span>","https://ucarecdn.com/fbafb4e5-50d9-4bb7-b265-ebd3bf2b34e0/BTNLesserInvulneralbility.png",30,"Consumables","Increases Attack Speed by 50%.<br>Lasts 10 minutes.",NA,"Alchemist Level 30"
